Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management,1,8340,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\Documentation,2,8345,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\Documentation\DOC-syslog-ng Open Source Edition,3,8346,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\Documentation\DOC-syslog-ng Premium Edition,3,8347,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\Documentation\DOC-syslog-ng Store Box,3,8348,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\Documentation\syslog-ng new,3,8349,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\RnD,2,8350,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\RnD\SSB,3,8351,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\RnD\syslog-ng,3,8352,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\RnD\QA,3,9195,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\syslog-ng Team,2,9822,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\syslog-ng Team\PE,3,9823,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\syslog-ng Team\OSE,3,9824,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\SSB Team,2,9833,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\syslog-ng OSE Team,2,11132,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Area,Log Management\syslog-ng PE Team,2,11133,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management,1,8332,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints,2,8369,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 28,3,8370,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\Eternal S1,3,8371,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 19Apr-30Apr 2,3,8372,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 10,3,8373,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 05Apr-16Apr,3,8374,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 17May-28May 2021,3,8375,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 1,3,8376,,
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Iteration,Log Management\Documentation-Historical Sprints\TechComm 12,3,8377,,
